10,176,322,459,640,804,952,1025,1132,1299,1407
40,122,282,381,474,510,583,682,722,800,840
7,227,357,497,625,726,780,908,1035,1077,1116
60,153,261,339,381,432,502,536,585,649,716
23,161,327,444,529,639,760,872,922,970,1022
6,187,336,420,512,577,645,697,770,840,895
1,94,227,319,359,401,454,517,565,604,652
16,127,250,397,469,527,605,671,738,775,879
47,175,315,360,436,531,574,669,726,777,811
9,117,226,329,473,527,614,702,766,794,812
1,146,299,369,443,477,517,578,621,650,673
20,182,351,424,542,609,722,793,864,887,927
1,91,242,351,455,504,556,638,684,717,762
9,156,221,263,332,403,435,467,499,517,533
11,146,269,435,496,589,626,669,711,762,823
17,156,243,311,363,413,465,539,565,608,639
28,193,316,361,397,514,553,609,677,719,748
16,189,366,512,640,748,813,848,898,946,979
32,136,348,442,520,602,646,704,744,781,809
6,111,234,355,442,528,610,686,767,832,908
2,171,343,448,512,597,684,732,786,813,853
60,162,336,461,558,666,711,791,856,920,954
8,122,236,365,416,485,557,601,664,741,775
27,153,291,408,530,606,641,738,804,826,873
30,130,203,278,320,358,403,450,502,532,562
7,130,253,367,446,533,574,617,660,707,736
24,109,236,293,343,405,480,511,537,563,582
17,184,336,423,513,588,673,753,787,841,881
14,202,360,439,505,604,658,704,734,781,823
4,211,437,607,680,741,811,849,875,917,961
37,146,231,282,338,419,458,505,542,584,629
37,170,332,438,488,545,582,651,710,738,774
18,152,303,451,552,611,660,718,747,779,817
66,224,309,417,509,600,653,732,771,796,849
8,120,237,309,345,382,413,432,460,512,549
23,268,353,484,550,599,636,665,703,745,784
32,202,278,417,517,587,671,722,798,835,878
11,99,252,383,446,536,614,668,706,740,777
2,179,348,450,589,709,820,854,901,963,997
5,110,262,393,516,658,717,776,812,857,887
